Link,Username,Rank,Timeline,Review,Response
https://lh3.googleusercontent.com/a/ACg8ocK0GOuEcmO7NUiotMXFBiOIgbchkPUfxNwIzyBb26u9=w45-h45-p-rp-mo-br100,Akshayata nadiminti,4 reviews,4 years ago,Good college !! Great faculty ! College environment is friendly for students ... they teach using modern aspects ... they also try and reduce the industrial gap . Faculty is trained to teach students the way they want ... faculty is all …,Share
https://lh3.googleusercontent.com/a/ACg8ocKPVpsS6FY9I5Eoca2Yy0lYSTS2eYbXWzYxun2kFqyx=w45-h45-p-rp-mo-br100,Nahid,1 review,4 years ago,"This is best institute for engineering in Thane.
College Provides Project based learning, Gate training, foreign language training and value addition program. Placement is very good,students are placed in Big …",Share
https://lh3.googleusercontent.com/a-/ALV-UjW_X_OXDHWEEVV5s70LJZ9vGW1TGuOVr1YL4MyP8CYXvKY=w45-h45-p-rp-mo-br100,Swaroop Deshmukh,4 reviews,4 years ago,"Very ambitious institute, constantly exploring various endeavors in its strive towards its vision to be a premier institute in the field of engineering. Main strength of the institute is dedicated faculty who leave no stone unturned in …",Share
https://lh3.googleusercontent.com/a-/ALV-UjVwpSZVH1fV1QkELSpgtGtbgI_LBE53fe_8wvz9fEzHSHI=w45-h45-p-rp-mo-br100,Swapna Sawant,5 reviews,4 years ago,"A P Shah Institute of Technology is very good college. It has highly qualified faculties and great infrastructure. There are adequate sports facilities. Placement rate is high. Foreign languages like Japanese, German, Spanish, French and Chinese are taught free of cost for interested students along with technical education.",Share
https://lh3.googleusercontent.com/a/ACg8ocI79AElo1MoBHKvqLsrwlJAPbI5XGHV-WWaYBYf82x9=w45-h45-p-rp-mo-br100,Shweta Mahajan,1 review,4 years ago,"The college is very good and road touch.

The faculty is nice and good infrastructure. …",Share
https://lh3.googleusercontent.com/a/ACg8ocJMStfsKSh8WXk9dO5ESeB5kCjn30OMxEBhtdUTNFSm=w45-h45-p-rp-mo-br100,Pankaj Jadhav,3 reviews,4 years ago,"It's best engineering college of Mumbai.
Placement record is so good.
Location is superb. …",Share
https://lh3.googleusercontent.com/a/ACg8ocJo-dv83tZXb5uHzHeMMe2l6sAhtyf1VNT_9zWbZ2iW=w45-h45-p-rp-mo-br100,shruti godbole,4 reviews,4 years ago,"APSIT, one of the best college in mumbai university

There are many courses for students to achieve excellent job. With syllabus, …",Share
https://lh3.googleusercontent.com/a-/ALV-UjWZf_Ygthc9YTn2pQjJ7uq-kaWmfpNxfXjRdVogT0kkTxo=w45-h45-p-rp-mo-br100,jay mehta,4 reviews,4 years ago,"very nice college. friendly cooperative and helpful teaching and non teaching staff.
Amazing infrastructure both civil and IT. …",Share
https://lh3.googleusercontent.com/a-/ALV-UjWFUfKLL6oSEni8NqaIkDPMW_JKHPVk185bJyyCXiUIFB-J=w45-h45-p-rp-mo-br100,unknown,1 review,4 years ago,"AP Shah Institute has best infrastructure. It provide student with all facility like music room, highly equipped labs, placement in MNC. Various events are organised in the college for overall development of students. There are various …",Share
https://lh3.googleusercontent.com/a-/ALV-UjW-_i8mDgLU3LbT-cDAH8FSq1vouN0QpjRvIV79kTM9NISF=w45-h45-p-rp-mo-ba7-br100,Ashish Nalawade,"Local Guide · 702 reviews · 6,126 photos",4 years ago,"A. P. Shah Institute of Technology, on of best college in mumbai university
Not only for teaching level but also great in extra curriculum activities.
There are many courses for students to achieve excellent job. …",Share
https://lh3.googleusercontent.com/a-/ALV-UjW4FD0rNvjocK6Hd_zqXBHPJXbzMKZjhezXbKQqf-LhaX27=w45-h45-p-rp-mo-br100,Rakibul Islam Salafi (Babu),"398 reviews · 3,178 photos",6 years ago,Nearest Bus Stop is SAI NATH NAGAR BUS STOP & Nearest Railway Station is THANE...... Nice Building Maa shaa Allah in front of G Corp..... Official area,
https://lh3.googleusercontent.com/a-/ALV-UjVeTwYaAGygAcjsCaQ9Vd4EoLE0TswAz8pcTN--ujQv_skP=w45-h45-p-rp-mo-ba4-br100,IamOmkarD,Local Guide · 62 reviews · 123 photos,3 years ago,"A place where quality Engineers pass out from.

From being awarded as the BEST Upcoming Engineering college within Mumbai …",Share
https://lh3.googleusercontent.com/a-/ALV-UjVJ6GmR1ue6q1czL9yz-QLKYvZJDVRpnCLmap5iTduTrQBi=w45-h45-p-rp-mo-br100,Ashika Bangera,2 reviews,4 years ago,It is one of the best emerging engineering college in mumbai with good infrastructure and management. …,Share
https://lh3.googleusercontent.com/a/ACg8ocLS2BfcPv3oMsm6B62uPhT5f1fNs31Nm_f_sSYesvgP=w45-h45-p-rp-mo-br100,Nilesh Aher,7 reviews,4 years ago,The infrastructure of the college is very good starting from the main gate. Greenery makes the campus more beautiful. As soon as you enter the reception you get blessings of prestine white Saraswati Idol. The library has lots of books of …,Share
https://lh3.googleusercontent.com/a-/ALV-UjWxu_xhMa2ZkYbcA0oegB0NhAaE9PjRCJ4quSQ1TNX9Gg=w45-h45-p-rp-mo-br100,Puja Sakpal - Chavan,1 review,4 years ago,APSIT is the best engineering college.It has best infrastructure having enthusiastic nature around it. This college is providing many facilities for students. All classrooms & Labs are Air conditioned with smartboard & projectors. This …,Share
https://lh3.googleusercontent.com/a-/ALV-UjWh4lF9qDdqo9_abvzpp8B71YiwPn33CPV3-kvqaW82PGg=w45-h45-p-rp-mo-br100,Hemant Chaudhari,3 reviews,3 years ago,"A P Shah Institute of Technology is one of the best Emerging college in Thane, Mumbai.
College has good infrastructure and excellent faculties. …",Share
https://lh3.googleusercontent.com/a-/ALV-UjUy1ETdihIKSe2GvW3jdC6vukQtnl1tu3DEe5TH2h1EnBHS=w45-h45-p-rp-mo-ba2-br100,Jackson Mudaliar,Local Guide · 8 reviews,4 years ago,"Value for money. Compared to other engineering college's this one offer's lot of service's completely free of cost. Nice infrastructure, AC class rooms are there ..... Exceptional placement services offered to students",Share
https://lh3.googleusercontent.com/a-/ALV-UjUQ2uMTTuixU3TwDnJ5J-EDfF2TaCEa5K8E_yE_SzmO_fnk=w45-h45-p-rp-mo-br100,Prasad Soman,4 reviews · 2 photos,4 years ago,"Awesome college with ample facilities,
Nice Infrastructure.
College has started Project Based Learning activity which trained students ready …",Share
https://lh3.googleusercontent.com/a/ACg8ocJ9UNGsy8NSHhh2OgzcSj95smXWXcd3sCQDYKiE5fZ3=w45-h45-p-rp-mo-br100,RAHUL,4 reviews · 2 photos,4 years ago,"Location: Opposite to hypercity mall
Institute have good connectivity of buses from Western and central railway station. …",
